==============================
Date/Time: 27-10-2021 22-35-18
==============================

==============================
Date/Time: 27-10-2021 22-37-05
==============================

==============================
Date/Time: 27-10-2021 22-44-56
==============================

==============================
RPM:   1485.4	Δt: 40.394
RPM:     1485	Δt: 40.404
RPM:   1483.9	Δt: 40.433
RPM:   1488.4	Δt: 40.311
RPM:     1484	Δt: 40.432
RPM:   1488.6	Δt: 40.305
RPM:     1486	Δt: 40.378
RPM:   1504.2	Δt: 39.888
RPM:   1571.8	Δt: 38.173
RPM:   1620.7	Δt: 37.02
RPM:     1659	Δt: 36.166
RPM:   1686.5	Δt: 35.576
RPM:   1702.1	Δt: 35.251
RPM:   1716.8	Δt: 34.948
RPM:   1726.6	Δt: 34.75
RPM:   1731.2	Δt: 34.659
RPM:   1744.6	Δt: 34.391
RPM:   1743.8	Δt: 34.407
RPM:   1747.5	Δt: 34.335
RPM:   1748.4	Δt: 34.317
RPM:   1750.9	Δt: 34.268
RPM:   1755.5	Δt: 34.179
RPM:     1752	Δt: 34.246
RPM:   1752.7	Δt: 34.232
RPM:   1760.4	Δt: 34.083
RPM:   1756.7	Δt: 34.154
RPM:   1752.8	Δt: 34.231
RPM:   1758.1	Δt: 34.128
RPM:     1754	Δt: 34.207
RPM:   1795.5	Δt: 33.417
RPM:   1850.3	Δt: 32.428
RPM:   1885.8	Δt: 31.816
RPM:   1910.8	Δt: 31.4
RPM:   1937.6	Δt: 30.966
RPM:   1954.2	Δt: 30.703
RPM:   1960.5	Δt: 30.604
RPM:   1976.3	Δt: 30.359
RPM:     1981	Δt: 30.288
RPM:   1979.3	Δt: 30.313
RPM:   1986.4	Δt: 30.205
RPM:   1996.6	Δt: 30.051
RPM:   1995.1	Δt: 30.074
RPM:   1999.2	Δt: 30.012
RPM:   1997.1	Δt: 30.044
RPM:   2004.3	Δt: 29.935
RPM:   2001.7	Δt: 29.974
RPM:   1999.7	Δt: 30.005
RPM:   2000.3	Δt: 29.996
RPM:   2000.1	Δt: 29.999
RPM:   1999.6	Δt: 30.006
RPM:   2000.6	Δt: 29.991
RPM:   2004.7	Δt: 29.93
RPM:   2000.5	Δt: 29.992
RPM:   2010.7	Δt: 29.84
RPM:   2061.9	Δt: 29.099
RPM:     2118	Δt: 28.328
RPM:   2144.6	Δt: 27.977
RPM:   2169.1	Δt: 27.661
RPM:   2192.2	Δt: 27.37
RPM:   2213.8	Δt: 27.103
RPM:     2224	Δt: 26.979
RPM:   2232.7	Δt: 26.873
RPM:   2242.5	Δt: 26.756
RPM:   2249.6	Δt: 26.672
RPM:   2253.7	Δt: 26.623
RPM:   2255.1	Δt: 26.606
RPM:   2262.2	Δt: 26.523
RPM:     2265	Δt: 26.49
RPM:   2267.3	Δt: 26.463
RPM:   2268.4	Δt: 26.45
RPM:   2276.4	Δt: 26.357
RPM:   2266.9	Δt: 26.468
RPM:   2274.9	Δt: 26.375
RPM:   2274.3	Δt: 26.382
RPM:   2270.7	Δt: 26.424
RPM:     2279	Δt: 26.327
RPM:   2276.8	Δt: 26.353
RPM:   2280.7	Δt: 26.308
RPM:   2273.4	Δt: 26.392
RPM:   2276.6	Δt: 26.355
RPM:     2277	Δt: 26.351
RPM:   2286.5	Δt: 26.241
RPM:   2336.4	Δt: 25.681
RPM:   2370.4	Δt: 25.312
RPM:   2382.5	Δt: 25.184
RPM:   2390.2	Δt: 25.102
RPM:   2385.7	Δt: 25.15
RPM:   2386.1	Δt: 25.146
RPM:   2379.3	Δt: 25.217
RPM:   2354.1	Δt: 25.487
RPM:   2351.7	Δt: 25.513
RPM:   2319.3	Δt: 25.87
RPM:   2298.3	Δt: 26.106
RPM:   2273.2	Δt: 26.394
RPM:   2250.1	Δt: 26.666
RPM:   2214.2	Δt: 27.098
RPM:   2183.9	Δt: 27.474
RPM:   2153.1	Δt: 27.867
RPM:   2114.2	Δt: 28.379
RPM:   2078.3	Δt: 28.87
RPM:   2036.2	Δt: 29.466
RPM:   2000.7	Δt: 29.989
RPM:   1964.6	Δt: 30.54
RPM:   1923.6	Δt: 31.192
RPM:   1877.7	Δt: 31.954
RPM:   1837.6	Δt: 32.651
RPM:   1793.4	Δt: 33.456
RPM:   1746.1	Δt: 34.362
RPM:   1706.4	Δt: 35.161
RPM:   1656.8	Δt: 36.214
RPM:   1609.4	Δt: 37.281
RPM:     1562	Δt: 38.413
RPM:   1509.2	Δt: 39.756
RPM:   1453.4	Δt: 41.282
RPM:   1401.9	Δt: 42.799
RPM:   1343.6	Δt: 44.656
RPM:   1281.6	Δt: 46.816
RPM:   1214.1	Δt: 49.421
RPM:   1148.6	Δt: 52.238
RPM:   1075.8	Δt: 55.775
RPM:     1001	Δt: 59.941
RPM:   917.61	Δt: 65.387
RPM:    822.3	Δt: 72.966
RPM:   714.98	Δt: 83.919
RPM:    589.7	Δt: 101.747
RPM:   421.28	Δt: 142.424

==============================
Date/Time: 28-10-2021 18-26-20
==============================
RPM:   724.29	Δt (ms): 82.84
RPM:   570.99	Δt (ms): 105.081
RPM:   1491.1	Δt (ms): 40.238
RPM:   2176.4	Δt (ms): 27.569
RPM:   2585.6	Δt (ms): 23.205
RPM:   2259.8	Δt (ms): 26.551
RPM:   1806.5	Δt (ms): 33.213
RPM:   2187.3	Δt (ms): 27.431
RPM:   2597.3	Δt (ms): 23.101
RPM:   2857.4	Δt (ms): 20.998
RPM:   3060.6	Δt (ms): 19.604
RPM:   2682.8	Δt (ms): 22.365
RPM:   2089.4	Δt (ms): 28.717
RPM:   1493.9	Δt (ms): 40.162
RPM:   1444.1	Δt (ms): 41.548
RPM:     1817	Δt (ms): 33.022
RPM:   1287.3	Δt (ms): 46.608
RPM:   652.58	Δt (ms): 91.943
RPM:   1217.3	Δt (ms): 49.289
RPM:   2034.5	Δt (ms): 29.491
RPM:   2323.1	Δt (ms): 25.828
RPM:   1877.1	Δt (ms): 31.964
RPM:   1250.1	Δt (ms): 47.998
RPM:   1250.8	Δt (ms): 47.969
RPM:   1898.6	Δt (ms): 31.603
RPM:   1644.4	Δt (ms): 36.487
RPM:   1135.2	Δt (ms): 52.855
RPM:   775.09	Δt (ms): 77.41
RPM:   1552.8	Δt (ms): 38.64
RPM:   2191.5	Δt (ms): 27.378
RPM:   2116.2	Δt (ms): 28.353
RPM:   1504.5	Δt (ms): 39.88
RPM:   866.86	Δt (ms): 69.215
RPM:    989.4	Δt (ms): 60.643
RPM:   1814.9	Δt (ms): 33.059
RPM:   1907.2	Δt (ms): 31.459
RPM:   1462.3	Δt (ms): 41.031
RPM:   828.12	Δt (ms): 72.453
RPM:   820.73	Δt (ms): 73.106
RPM:     1913	Δt (ms): 31.364
RPM:   2424.6	Δt (ms): 24.746
RPM:   2257.4	Δt (ms): 26.579
RPM:   1643.3	Δt (ms): 36.513
RPM:     1022	Δt (ms): 58.706
RPM:   796.11	Δt (ms): 75.366
RPM:   1568.7	Δt (ms): 38.249
RPM:   2045.1	Δt (ms): 29.339
RPM:   1553.2	Δt (ms): 38.629
RPM:   924.19	Δt (ms): 64.922
RPM:    777.3	Δt (ms): 77.19
RPM:   1766.2	Δt (ms): 33.972
RPM:   2285.5	Δt (ms): 26.252
RPM:   2031.6	Δt (ms): 29.534
RPM:     1418	Δt (ms): 42.314
RPM:   768.29	Δt (ms): 78.096
RPM:   1214.6	Δt (ms): 49.401
RPM:     1826	Δt (ms): 32.859
RPM:   1855.7	Δt (ms): 32.333
RPM:     1320	Δt (ms): 45.453
