==============================
Date/Time: 27-10-2021 22-35-18
==============================

==============================
Date/Time: 27-10-2021 22-37-05
==============================

==============================
Date/Time: 27-10-2021 22-44-56
==============================

==============================
E(t):     64.5	Δt: 50
E(t):  -39.816	Δt: 50
E(t):   628.86	Δt: 50
E(t):   -223.6	Δt: 50
E(t):  -317.03	Δt: 50
E(t):  -338.48	Δt: 50
E(t):   500.81	Δt: 50
E(t):  -449.63	Δt: 50
E(t):  -474.65	Δt: 50
E(t):  -583.08	Δt: 50
E(t):  -606.02	Δt: 50
E(t):  -609.04	Δt: 50
E(t):  -705.78	Δt: 50
E(t):  -716.33	Δt: 50
E(t):    318.7	Δt: 50
E(t):  -826.59	Δt: 50
E(t):  -870.32	Δt: 50
E(t):  -876.78	Δt: 50
E(t):   627.47	Δt: 50
E(t):  -963.41	Δt: 50
E(t):  -963.41	Δt: 50
E(t):  -1065.4	Δt: 50
E(t):    -1099	Δt: 50
E(t):  -1106.6	Δt: 50
E(t):  -1162.9	Δt: 50
E(t):    -1191	Δt: 50
E(t):  -1206.9	Δt: 50
E(t):  -1249.9	Δt: 50
E(t):  -1264.5	Δt: 50
E(t):   45.292	Δt: 50
E(t):    -1351	Δt: 50
E(t):  -1320.5	Δt: 50
E(t):     1400	Δt: 50
E(t):   -913.3	Δt: 50
E(t):  -886.76	Δt: 50
E(t):   653.49	Δt: 50
E(t):  -699.44	Δt: 50
E(t):  -720.67	Δt: 50
E(t):     1400	Δt: 50
E(t):   890.39	Δt: 50
E(t):  -576.94	Δt: 50
E(t):     1400	Δt: 50
E(t):  -520.31	Δt: 50
E(t):  -519.94	Δt: 50
E(t):  -461.68	Δt: 50
E(t):  -477.11	Δt: 50
E(t):  -498.73	Δt: 50
E(t):  -405.16	Δt: 50
E(t):   -311.5	Δt: 50
E(t):  -162.58	Δt: 50
E(t):    239.5	Δt: 50
E(t):   701.59	Δt: 50
E(t):   701.59	Δt: 50
E(t):   608.94	Δt: 50
E(t):   541.11	Δt: 50
E(t):   541.11	Δt: 50
E(t):   541.11	Δt: 50
E(t):   541.11	Δt: 50
E(t):   1058.7	Δt: 50
E(t):   202.25	Δt: 50
E(t):   202.25	Δt: 50
E(t):   746.28	Δt: 50
E(t):  -4.9219	Δt: 50
E(t):   659.45	Δt: 50
E(t):  -132.88	Δt: 50
E(t):  -244.65	Δt: 50
E(t):  -272.52	Δt: 50
E(t):  -283.03	Δt: 50
E(t):   526.99	Δt: 50
E(t):  -383.59	Δt: 50
E(t):  -383.59	Δt: 50
E(t):  -518.04	Δt: 50
E(t):  -518.04	Δt: 50
E(t):  -518.04	Δt: 50
E(t):  -644.64	Δt: 50
E(t):  -667.68	Δt: 50
E(t):  -667.68	Δt: 50
E(t):   -773.2	Δt: 50
E(t):  -786.03	Δt: 50
E(t):  -716.78	Δt: 50
E(t):     1400	Δt: 50
E(t):  -392.86	Δt: 50
E(t):     1400	Δt: 50
E(t):  -360.67	Δt: 50
E(t):  -390.94	Δt: 50
E(t):  -308.04	Δt: 50
E(t):  -347.49	Δt: 50
